track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate
billboard_2021_03,billboard,2021,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2021_3_The Weeknd_Blinding Lights_vocals.mp3,2021_3_The Weeknd_Blinding Lights_vocals.mp3,The Weeknd,Blinding Lights,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2021_03.npz,74.72181405895692,0.6901901318091683,0.7827843380981976,,0.27960516533635893,0.05798252581413821,0.0019857029388403494
billboard_2023_03,billboard,2023,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2023_3_SZA_Kill Bill_vocals.mp3,2023_3_SZA_Kill Bill_vocals.mp3,SZA,Kill Bill,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2023_03.npz,46.18448979591837,0.8367885910471412,0.8486676721970839,,0.2796051653363589,0.06164789567279194,0.0035566093657379964
billboard_2010_02,billboard,2010,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2010_2_Lady Antebellum_Need You Now_vocals.mp3,2010_2_Lady Antebellum_Need You Now_vocals.mp3,Lady Antebellum,Need You Now,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2010_02.npz,28.606984126984127,0.6245922208281054,,too_short,,,
billboard_2024_02,billboard,2024,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2024_2_Shaboozey_A Bar Song (Tipsy)_vocals.mp3,2024_2_Shaboozey_A Bar Song (Tipsy)_vocals.mp3,Shaboozey,A Bar Song (Tipsy),skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2024_02.npz,25.21687074829932,0.7095391211146839,,too_short,,,
suno_v4_5_1951_03,suno_v4_5,1951,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1951_3_df5a0420-c85e-480e-9358-676403392036_vocals.mp3,1951_3_df5a0420-c85e-480e-9358-676403392036_vocals.mp3,Les Paul & Mary Ford,How High the Moon,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1951_03.npz,25.379410430839002,0.5659217877094972,,too_short,,,
billboard_2017_05,billboard,2017,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2017_5_The Chainsmokers and Coldplay_Something Just Like This_vocals.mp3,2017_5_The Chainsmokers and Coldplay_Something Just Like This_vocals.mp3,The Chainsmokers and Coldplay,Something Just Like This,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2017_05.npz,30.95219954648526,0.7587373167981961,0.8034508627156789,,0.6159498854580681,0.04953271028037383,0.007476635514018692
billboard_2024_03,billboard,2024,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2024_3_Benson Boone_Beautiful Things_vocals.mp3,2024_3_Benson Boone_Beautiful Things_vocals.mp3,Benson Boone,Beautiful Things,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2024_03.npz,41.00643990929705,0.7935149469623916,0.8669309173272933,,0.27960516533635893,0.05751633986928104,0.0032679738562091504
suno_v4_5_1957_03,suno_v4_5,1957,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1957_3_a6f693ef-0200-43ec-8e69-841388df3b3e_vocals.mp3,1957_3_a6f693ef-0200-43ec-8e69-841388df3b3e_vocals.mp3,The Diamonds,Little Darlin,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1957_03.npz,24.589931972789117,0.28131515637530075,,too_short,,,
suno_v4_5_1951_04,suno_v4_5,1951,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1951_4_cab4549b-b6b1-4e0d-8818-f806d0e8a2a2_vocals.mp3,1951_4_cab4549b-b6b1-4e0d-8818-f806d0e8a2a2_vocals.mp3,Rosemary Clooney,Come on-a My House,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1951_04.npz,21.594557823129254,0.7596589878469073,,too_short,,,
suno_v4_5_1954_04,suno_v4_5,1954,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1954_4_2f1482de-5aec-46ca-8a46-d82caf872451_vocals.mp3,1954_4_2f1482de-5aec-46ca-8a46-d82caf872451_vocals.mp3,The Crew-Cuts,Sh-Boom,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1954_04.npz,22.84843537414966,0.6233321312657771,,too_short,,,
suno_v4_5_1957_01,suno_v4_5,1957,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1957_1_8f7d2dc3-86cd-43ac-9384-3a4b5d3d224d_vocals.mp3,1957_1_8f7d2dc3-86cd-43ac-9384-3a4b5d3d224d_vocals.mp3,Elvis Presley,All Shook Up,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1957_01.npz,29.72154195011338,0.7117938870219235,,too_short,,,
