track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1959_03,billboard,1959,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_3_Lloyd Price_Personality_vocals.mp3,1959_3_Lloyd Price_Personality_vocals.mp3,Lloyd Price,Personality,pending,,,,,
billboard_1959_04,billboard,1959,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_4_Frankie Avalon_Venus_vocals.mp3,1959_4_Frankie Avalon_Venus_vocals.mp3,Frankie Avalon,Venus,pending,,,,,
billboard_1959_05,billboard,1959,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_5_Paul Anka_Lonely Boy_vocals.mp3,1959_5_Paul Anka_Lonely Boy_vocals.mp3,Paul Anka,Lonely Boy,pending,,,,,
billboard_1960_01,billboard,1960,01,"/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_1_Percy Faith_The Theme from ""A Summer Place""_vocals.mp3","1960_1_Percy Faith_The Theme from ""A Summer Place""_vocals.mp3",Percy Faith,The Theme from 'A Summer Place',pending,,,,,
billboard_1960_02,billboard,1960,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_2_Jim Reeves_He'll Have to Go_vocals.mp3,1960_2_Jim Reeves_He'll Have to Go_vocals.mp3,Jim Reeves,He'll Have to Go,pending,,,,,
billboard_1960_03,billboard,1960,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_3_The Everly Brothers_Cathy's Clown_vocals.mp3,1960_3_The Everly Brothers_Cathy's Clown_vocals.mp3,The Everly Brothers,Cathy's Clown,pending,,,,,
billboard_1960_04,billboard,1960,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_4_Johnny Preston_Running Bear_vocals.mp3,1960_4_Johnny Preston_Running Bear_vocals.mp3,Johnny Preston,Running Bear,pending,,,,,
billboard_1960_05,billboard,1960,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_5_Mark Dinning_Teen Angel_vocals.mp3,1960_5_Mark Dinning_Teen Angel_vocals.mp3,Mark Dinning,Teen Angel,pending,,,,,
billboard_1961_01,billboard,1961,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1961_1_Bobby Lewis_Tossin' and Turnin'_vocals.mp3,1961_1_Bobby Lewis_Tossin' and Turnin'_vocals.mp3,Bobby Lewis,Tossin' and Turnin',pending,,,,,
billboard_1961_02,billboard,1961,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1961_2_Patsy Cline and The Jordanaires_I Fall to Pieces_vocals.mp3,1961_2_Patsy Cline and The Jordanaires_I Fall to Pieces_vocals.mp3,Patsy Cline and The Jordanaires,I Fall to Pieces,pending,,,,,
billboard_1961_03,billboard,1961,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1961_3_The Highwaymen_Michael (Row the Boat Ashore)_vocals.mp3,1961_3_The Highwaymen_Michael (Row the Boat Ashore)_vocals.mp3,The Highwaymen,Michael (Row the Boat Ashore),pending,,,,,
