track_id,source,year,position,artist,title,alpha_dfa,alpha_width,alpha_peak,spectrum_skew,mfdfa_ok,contour_length
billboard_1960_05,billboard,1960,05,Mark Dinning,Teen Angel,1.1017229998040137,15.827361166988595,15.847996061453927,-0.8975251832932729,True,1529.0
billboard_1961_02,billboard,1961,02,Patsy Cline and The Jordanaires,I Fall to Pieces,1.2184077023067827,10.074069603317216,10.640791257541707,-0.9416416546906107,True,3004.0
billboard_1992_03,billboard,1992,03,Kris Kross,Jump,0.7459593041712701,16.248963633710567,15.962625752375885,-0.9431587134143578,True,1316.0
billboard_1955_05,billboard,1955,05,Les Baxter,Unchained Melody,1.0878023347304082,13.043360269612975,12.62840129002376,-0.8139559483618131,True,1610.0
billboard_1982_03,billboard,1982,03,Joan Jett & The Blackhearts,I Love Rock 'N Roll,0.7716227888622099,1.5846051311948448,1.0702849058867814,0.5684009276485997,True,2877.0
billboard_1971_02b,billboard,1971,02b,Rod Stewart,Reason to Believe,1.1143130845234919,15.372120398025816,15.730081684787336,-0.9090863928487302,True,1675.0
billboard_1982_04,billboard,1982,04,Paul McCartney and Stevie Wonder,Ebony and Ivory,1.2687253135988132,9.69738534130919,10.025761949622762,-0.8786724281459911,True,1530.0
billboard_1974_04,billboard,1974,04,Redbone,Come and Get Your Love,1.2432601185329455,15.126059837472775,15.29803197142553,-0.8998906541507685,True,1797.0
billboard_1995_05,billboard,1995,05,Boyz II Men,On Bended Knee,1.2487532099678444,12.421337605695848,13.058705269374528,-0.9620701760615296,True,1691.0
billboard_1990_02,billboard,1990,02,Roxette,It Must Have Been Love,1.3743547671282563,1.5047751145135293,-0.027142159663078314,1.0,True,1406.0
billboard_1967_01,billboard,1967,01,Lulu,To Sir With Love,1.1786015565099968,11.184740288153948,11.382391963505853,-0.9023225558760037,True,1739.0
billboard_1978_03,billboard,1978,03,Debby Boone,You Light Up My Life,0.9637687152055245,10.228177566665046,10.474605127507687,-0.9154577947173855,True,3037.0
billboard_1977_04,billboard,1977,04,Barbara Streisand,Evergreen (Love Theme from A Star Is Born),1.2312843038722032,5.5916837782297435,5.628707829676626,-0.7706122788367988,True,3562.0
billboard_1993_01,billboard,1993,01,Whitney Houston,I Will Always Love You,1.1489634380684204,4.997367843347478,5.644802987689925,-0.9080286302267956,True,2886.0
billboard_1980_01,billboard,1980,01,Blondie,Call Me,1.0116563419497242,17.207958363147746,17.118416584455247,-0.9362309063338521,True,3942.0
billboard_1995_02,billboard,1995,02,TLC,Waterfalls,1.0325732802437984,6.673622363323494,4.053925002353041,0.02796959395874342,True,1936.0
billboard_1995_04,billboard,1995,04,Seal,Kiss from a Rose,1.0159286393062728,12.739343241909019,12.91643761418544,-0.9216780661733172,True,2749.0
